parcel_id,land_use,area_sqm,area_hectares,area_acres,area_gaj,perimeter_m,builtup_pct,builtup_area_sqm,building_count,compactness,confidence,verification_status,centroid_lon,centroid_lat
P-0264,Vacant / Open Plot,8.08,0.0008,0.002,9.66,17.71,0.0,0.0,0,0.323,0.81,Pending Review,77.210448,28.612555
P-0118,Vacant / Open Plot,8.03,0.0008,0.002,9.61,11.86,0.0,0.0,0,0.718,0.89,Pending Review,77.209448,28.613281
P-0088,Vacant / Open Plot,7.84,0.0008,0.0019,9.38,14.95,0.0,0.0,0,0.441,0.84,Pending Review,77.21089,28.613445
P-0341,Vacant / Open Plot,7.82,0.0008,0.0019,9.35,13.67,0.0,0.0,0,0.526,0.86,Pending Review,77.21062,28.612197
P-0119,Vacant / Open Plot,7.99,0.0008,0.002,9.56,15.36,0.0,0.0,0,0.426,0.84,Pending Review,77.210551,28.61328
P-0452,Vacant / Open Plot,7.76,0.0008,0.0019,9.28,11.29,0.0,0.0,0,0.764,0.9,Pending Review,77.212116,28.611626
P-0281,Vacant / Open Plot,7.61,0.0008,0.0019,9.1,15.16,0.0,0.0,0,0.416,0.83,Pending Review,77.209196,28.612462
P-0310,Vacant / Open Plot,7.73,0.0008,0.0019,9.25,15.06,0.0,0.0,0,0.429,0.84,Pending Review,77.209454,28.612325
P-0182,Vacant / Open Plot,7.5,0.0007,0.0019,8.97,11.7,0.0,0.0,0,0.689,0.89,Pending Review,77.210815,28.613026
P-0240,Vacant / Open Plot,7.63,0.0008,0.0019,9.12,21.54,0.0,0.0,0,0.207,0.79,Pending Review,77.21035,28.612677
P-0441,Vacant / Open Plot,7.29,0.0007,0.0018,8.71,11.28,0.0,0.0,0,0.719,0.89,Pending Review,77.210766,28.611683
P-0477,Vacant / Open Plot,7.63,0.0008,0.0019,9.12,16.84,0.0,0.0,0,0.338,0.82,Pending Review,77.210648,28.611474
P-0330,Vacant / Open Plot,7.31,0.0007,0.0018,8.74,16.78,0.0,0.0,0,0.326,0.82,Pending Review,77.209823,28.612224
P-0317,Vacant / Open Plot,7.35,0.0007,0.0018,8.79,14.46,0.0,0.0,0,0.442,0.84,Pending Review,77.210675,28.6123
P-0081,Vacant / Open Plot,7.31,0.0007,0.0018,8.74,23.45,0.0,0.0,0,0.167,0.78,Pending Review,77.210901,28.613478
P-0327,Vacant / Open Plot,7.41,0.0007,0.0018,8.87,13.56,0.0,0.0,0,0.506,0.85,Pending Review,77.209504,28.612256
P-0398,Vacant / Open Plot,7.26,0.0007,0.0018,8.69,11.93,0.0,0.0,0,0.642,0.88,Pending Review,77.211516,28.611846
P-0113,Vacant / Open Plot,7.24,0.0007,0.0018,8.66,12.67,0.0,0.0,0,0.567,0.86,Pending Review,77.210629,28.613292
P-0465,Vacant / Open Plot,7.46,0.0007,0.0018,8.92,18.01,0.0,0.0,0,0.289,0.81,Pending Review,77.210359,28.611579
P-0289,Vacant / Open Plot,6.86,0.0007,0.0017,8.2,13.7,0.0,0.0,0,0.46,0.84,Pending Review,77.211912,28.612418
P-0540,Vacant / Open Plot,7.16,0.0007,0.0018,8.56,15.08,0.0,0.0,0,0.395,0.83,Pending Review,77.210835,28.611234
P-0404,Vacant / Open Plot,7.07,0.0007,0.0017,8.46,12.38,0.0,0.0,0,0.58,0.87,Pending Review,77.209737,28.611829
P-0560,Vacant / Open Plot,6.73,0.0007,0.0017,8.05,14.51,0.0,0.0,0,0.401,0.83,Pending Review,77.211185,28.611169
P-0544,Vacant / Open Plot,6.75,0.0007,0.0017,8.08,11.08,0.0,0.0,0,0.692,0.89,Pending Review,77.210892,28.611228
P-0086,Vacant / Open Plot,6.62,0.0007,0.0016,7.92,11.97,0.0,0.0,0,0.581,0.87,Pending Review,77.209788,28.613459
P-0179,Vacant / Open Plot,6.62,0.0007,0.0016,7.92,11.9,0.0,0.0,0,0.588,0.87,Pending Review,77.209513,28.61306
P-0382,Vacant / Open Plot,6.6,0.0007,0.0016,7.9,11.31,0.0,0.0,0,0.648,0.88,Pending Review,77.212233,28.6119
P-0555,Vacant / Open Plot,6.64,0.0007,0.0016,7.95,10.98,0.0,0.0,0,0.693,0.89,Pending Review,77.211069,28.611178
P-0246,Vacant / Open Plot,6.47,0.0006,0.0016,7.74,22.55,0.0,0.0,0,0.16,0.78,Pending Review,77.211583,28.612659
P-0077,Vacant / Open Plot,6.39,0.0006,0.0016,7.64,14.95,0.0,0.0,0,0.359,0.82,Pending Review,77.211234,28.613492
P-0314,Vacant / Open Plot,6.62,0.0007,0.0016,7.92,19.23,0.0,0.0,0,0.225,0.8,Pending Review,77.209814,28.612309
P-0464,Vacant / Open Plot,6.2,0.0006,0.0015,7.41,17.71,0.0,0.0,0,0.248,0.8,Pending Review,77.209009,28.611562
P-0110,Vacant / Open Plot,6.26,0.0006,0.0015,7.49,14.96,0.0,0.0,0,0.352,0.82,Pending Review,77.210992,28.613308
P-0480,Vacant / Open Plot,6.15,0.0006,0.0015,7.36,10.78,0.0,0.0,0,0.666,0.88,Pending Review,77.212237,28.611478
P-0114,Vacant / Open Plot,6.26,0.0006,0.0015,7.49,10.83,0.0,0.0,0,0.671,0.88,Pending Review,77.211775,28.613296
P-0156,Vacant / Open Plot,6.05,0.0006,0.0015,7.23,12.3,0.0,0.0,0,0.502,0.85,Pending Review,77.210239,28.613135
P-0127,Vacant / Open Plot,6.05,0.0006,0.0015,7.23,16.68,0.0,0.0,0,0.273,0.8,Pending Review,77.210131,28.613254
P-0564,Vacant / Open Plot,5.92,0.0006,0.0015,7.08,12.06,0.0,0.0,0,0.511,0.85,Pending Review,77.210003,28.611131
P-0231,Vacant / Open Plot,6.13,0.0006,0.0015,7.33,10.33,0.0,0.0,0,0.722,0.89,Pending Review,77.210861,28.612724
P-0386,Vacant / Open Plot,5.88,0.0006,0.0015,7.03,15.59,0.0,0.0,0,0.304,0.81,Pending Review,77.209577,28.611897
P-0097,Vacant / Open Plot,5.77,0.0006,0.0014,6.9,11.27,0.0,0.0,0,0.571,0.86,Pending Review,77.212122,28.613391
P-0176,Vacant / Open Plot,5.92,0.0006,0.0015,7.08,10.44,0.0,0.0,0,0.683,0.89,Pending Review,77.210506,28.613063
