Parcel ID,Feature Type,Category,Area (sq m),Area (hectares),Area (acres),Area (gaj),Perimeter (m),Vertex Count,Confidence,Status
CAD-0551,Road / Pathway,Infrastructure,10.74,0.0011,0.0027,12.85,16.09,10,78%,Pending Review
CAD-0552,Road / Pathway,Infrastructure,10.82,0.0011,0.0027,12.94,15.75,10,78%,Pending Review
CAD-0553,Road / Pathway,Infrastructure,20.96,0.0021,0.0052,25.07,21.05,9,78%,Pending Review
CAD-0554,Road / Pathway,Infrastructure,12.02,0.0012,0.003,14.38,22.16,6,78%,Pending Review
CAD-0555,Road / Pathway,Infrastructure,11.32,0.0011,0.0028,13.54,14.07,8,78%,Pending Review
CAD-0556,Road / Pathway,Infrastructure,11.53,0.0012,0.0028,13.79,23.54,9,78%,Pending Review
CAD-0557,Road / Pathway,Infrastructure,2105.27,0.2105,0.5202,2517.9,223.67,8,78%,Pending Review
CAD-0558,Road / Pathway,Infrastructure,7.8,0.0008,0.0019,9.33,14.09,9,78%,Pending Review
CAD-0559,Road / Pathway,Infrastructure,24.86,0.0025,0.0061,29.73,42.12,5,78%,Pending Review
CAD-0560,Road / Pathway,Infrastructure,17.32,0.0017,0.0043,20.71,25.66,6,78%,Pending Review
CAD-0561,Road / Pathway,Infrastructure,4069.13,0.4069,1.0055,4866.68,295.5,8,78%,Pending Review
CAD-0562,Vacant / Open Land,Land,66.61,0.0067,0.0165,79.67,34.18,9,75%,Pending Review
CAD-0563,Vacant / Open Land,Land,37.56,0.0038,0.0093,44.92,27.82,8,75%,Pending Review
CAD-0564,Vacant / Open Land,Land,55.26,0.0055,0.0137,66.09,47.28,9,75%,Pending Review
CAD-0565,Vacant / Open Land,Land,59213.97,5.9214,14.6321,70819.91,1037.61,6,75%,Pending Review
CAD-0566,Vacant / Open Land,Land,108.45,0.0108,0.0268,129.71,43.66,6,75%,Pending Review
