Parcel ID,Feature Type,Category,Area (sq m),Area (hectares),Area (acres),Area (gaj),Perimeter (m),Vertex Count,Confidence,Status
CAD-0126,Tree / Forest,Vegetation,2.86,0.0003,0.0007,3.42,9.08,10,85%,Pending Review
CAD-0127,Tree / Forest,Vegetation,7.55,0.0008,0.0019,9.03,13.69,7,85%,Pending Review
CAD-0128,Tree / Forest,Vegetation,13.77,0.0014,0.0034,16.47,17.71,8,85%,Pending Review
CAD-0129,Tree / Forest,Vegetation,58.63,0.0059,0.0145,70.12,30.2,10,85%,Pending Review
CAD-0130,Tree / Forest,Vegetation,5.39,0.0005,0.0013,6.45,10.47,11,85%,Pending Review
CAD-0131,Tree / Forest,Vegetation,8.35,0.0008,0.0021,9.99,16.15,6,85%,Pending Review
CAD-0132,Tree / Forest,Vegetation,15.21,0.0015,0.0038,18.19,17.62,10,85%,Pending Review
CAD-0133,Tree / Forest,Vegetation,5.86,0.0006,0.0014,7.01,11.11,10,85%,Pending Review
CAD-0134,Tree / Forest,Vegetation,2.99,0.0003,0.0007,3.58,8.36,10,85%,Pending Review
CAD-0135,Tree / Forest,Vegetation,3.47,0.0003,0.0009,4.15,10.23,9,85%,Pending Review
CAD-0136,Tree / Forest,Vegetation,41.04,0.0041,0.0101,49.08,33.38,7,85%,Pending Review
CAD-0137,Tree / Forest,Vegetation,4.75,0.0005,0.0012,5.68,10.72,10,85%,Pending Review
CAD-0138,Tree / Forest,Vegetation,224.79,0.0225,0.0555,268.85,66.49,8,85%,Pending Review
CAD-0139,Tree / Forest,Vegetation,12.37,0.0012,0.0031,14.79,18.71,9,85%,Pending Review
CAD-0140,Tree / Forest,Vegetation,49.84,0.005,0.0123,59.61,43.78,7,85%,Pending Review
CAD-0141,Tree / Forest,Vegetation,648.8,0.0649,0.1603,775.96,134.27,9,85%,Pending Review
CAD-0142,Tree / Forest,Vegetation,19.01,0.0019,0.0047,22.74,20.43,8,85%,Pending Review
CAD-0143,Tree / Forest,Vegetation,3.26,0.0003,0.0008,3.9,7.86,10,85%,Pending Review
CAD-0144,Tree / Forest,Vegetation,3.77,0.0004,0.0009,4.51,9.84,8,85%,Pending Review
CAD-0145,Tree / Forest,Vegetation,5.9,0.0006,0.0015,7.06,11.89,8,85%,Pending Review
CAD-0146,Tree / Forest,Vegetation,3.17,0.0003,0.0008,3.79,8.59,11,85%,Pending Review
CAD-0147,Tree / Forest,Vegetation,8.53,0.0009,0.0021,10.2,17.53,8,85%,Pending Review
CAD-0148,Tree / Forest,Vegetation,9.71,0.001,0.0024,11.61,18.18,8,85%,Pending Review
CAD-0149,Tree / Forest,Vegetation,2.74,0.0003,0.0007,3.28,6.86,11,85%,Pending Review
CAD-0150,Tree / Forest,Vegetation,3.64,0.0004,0.0009,4.35,9.41,10,85%,Pending Review
CAD-0151,Tree / Forest,Vegetation,175.34,0.0175,0.0433,209.71,48.42,14,85%,Pending Review
CAD-0152,Tree / Forest,Vegetation,12.76,0.0013,0.0032,15.26,17.07,9,85%,Pending Review
CAD-0153,Tree / Forest,Vegetation,6.42,0.0006,0.0016,7.68,10.78,9,85%,Pending Review
CAD-0154,Tree / Forest,Vegetation,3.3,0.0003,0.0008,3.95,7.54,10,85%,Pending Review
CAD-0155,Tree / Forest,Vegetation,16.12,0.0016,0.004,19.28,18.25,8,85%,Pending Review
CAD-0156,Tree / Forest,Vegetation,4.36,0.0004,0.0011,5.21,11.05,9,85%,Pending Review
CAD-0157,Tree / Forest,Vegetation,15.22,0.0015,0.0038,18.2,19.08,11,85%,Pending Review
CAD-0158,Tree / Forest,Vegetation,3.32,0.0003,0.0008,3.97,8.91,9,85%,Pending Review
CAD-0159,Tree / Forest,Vegetation,6.94,0.0007,0.0017,8.3,12.76,8,85%,Pending Review
CAD-0160,Tree / Forest,Vegetation,8.93,0.0009,0.0022,10.68,15.63,10,85%,Pending Review
CAD-0161,Tree / Forest,Vegetation,3.48,0.0003,0.0009,4.16,7.19,12,85%,Pending Review
CAD-0162,Tree / Forest,Vegetation,76.18,0.0076,0.0188,91.11,37.11,9,85%,Pending Review
CAD-0163,Tree / Forest,Vegetation,5.0,0.0005,0.0012,5.98,10.28,9,85%,Pending Review
CAD-0164,Tree / Forest,Vegetation,117.25,0.0117,0.029,140.23,47.28,9,85%,Pending Review
CAD-0165,Tree / Forest,Vegetation,13.85,0.0014,0.0034,16.56,16.77,9,85%,Pending Review
CAD-0166,Tree / Forest,Vegetation,2.58,0.0003,0.0006,3.09,6.98,11,85%,Pending Review
CAD-0167,Tree / Forest,Vegetation,2.68,0.0003,0.0007,3.21,7.54,12,85%,Pending Review
CAD-0168,Tree / Forest,Vegetation,19.96,0.002,0.0049,23.87,19.19,9,85%,Pending Review
CAD-0169,Tree / Forest,Vegetation,52.11,0.0052,0.0129,62.32,36.74,7,85%,Pending Review
CAD-0170,Tree / Forest,Vegetation,22.35,0.0022,0.0055,26.73,21.17,8,85%,Pending Review
CAD-0171,Tree / Forest,Vegetation,19.47,0.0019,0.0048,23.29,20.99,7,85%,Pending Review
CAD-0172,Tree / Forest,Vegetation,10.82,0.0011,0.0027,12.94,14.53,10,85%,Pending Review
CAD-0173,Tree / Forest,Vegetation,3.73,0.0004,0.0009,4.46,9.36,9,85%,Pending Review
CAD-0174,Tree / Forest,Vegetation,253.66,0.0254,0.0627,303.38,79.66,10,85%,Pending Review
CAD-0175,Tree / Forest,Vegetation,9.62,0.001,0.0024,11.51,14.92,8,85%,Pending Review
CAD-0176,Tree / Forest,Vegetation,113.98,0.0114,0.0282,136.32,48.75,10,85%,Pending Review
CAD-0177,Tree / Forest,Vegetation,6.39,0.0006,0.0016,7.64,10.01,10,85%,Pending Review
CAD-0178,Tree / Forest,Vegetation,4.88,0.0005,0.0012,5.84,8.5,11,85%,Pending Review
CAD-0179,Tree / Forest,Vegetation,1321.0,0.1321,0.3264,1579.92,163.41,10,85%,Pending Review
